Wie definiert Eric Berne das Konzept der 'Autonomie'?,"Die Wiedererlangung von drei Fähigkeiten: Wachheit (Awareness), Spontanität und Intimität."
Was ist der Unterschied zwischen einem positiven und einem negativen Stroke?,"Ein positiver Stroke vermittelt Wohlbefinden, ein negativer Stroke vermittelt Schmerz, ist aber besser als gar keine Beachtung."
Was versteht man unter einer 'Symbiose' nach der Schiff-Schule?,"Eine Beziehung, in der zwei Personen so agieren, als verfügten sie gemeinsam nur über drei statt sechs Ich-Zustände."
In einer Symbiose: Welcher Partner übernimmt typischerweise die 'überverantwortliche' Rolle?,"Der Partner, der nur EL und ER aktiviert und sein eigenes K ausschließt."
In einer Symbiose: Welche Ich-Zustände schließt der 'unterverantwortliche' Partner aus?,Das Eltern-Ich (EL) und das Erwachsenen-Ich (ER).
Was ist das Ziel von 'Passivität' im Sinne der Transaktionsanalyse?,Die Aufrechterhaltung einer Symbiose durch das Vermeiden von eigenständigem Denken oder Handeln.
Nennen Sie die vier Formen passiven Verhaltens nach Schiff.,"Nichtstun, Überanpassung, Agitieren und Selbstunwirksamkeit (oder Gewalt/Inkapazität)."
Was ist ein 'Behandlungsvertrag'?,Eine explizite Vereinbarung zwischen Klient und Therapeut über das spezifische Ziel einer Veränderung.
Welche vier Kriterien muss ein rechtsgültiger Arbeitsvertrag nach Steiner erfüllen?,"Gegenseitiges Einverständnis, Gegenleistung (Honorar), Vertragsfähigkeit und zulässiges Ziel."
Begriff: Discounting (Ausblendung/Abwertung),"Ein innerer Prozess, bei dem eine Person Aspekte der Realität, Probleme oder Lösungsmöglichkeiten unbewusst übersieht."
"Welche Hierarchiestufe des Discountings liegt vor, wenn jemand die Existenz eines Reizes ignoriert?",Die Ausblendung der Existenz (z.B. das Überhören eines Warnsignals).
Was ist ein 'Racket-Gefühl' (Ersatzgefühl)?,"Ein in der Kindheit erlerntes und gefördertes Gefühl, das in Stresssituationen anstelle eines authentischen Gefühls tritt."
Wie unterscheiden sich authentische Gefühle von Racket-Gefühlen?,"Authentische Gefühle dienen der Problemlösung im Hier und Jetzt, während Rackets zur Skriptbestätigung dienen."
Was ist ein 'Miniskript' nach Taibi Kahler?,"Ein schneller Ablauf von Prozessen, der mit einem Antreiber beginnt und in einem Racket-Gefühl endet."
Was ist der Ausgangspunkt jedes Miniskript-Ablaufs?,Die Befolgung eines 'Antreibers' (z.B. 'Sei perfekt!').
Welches Ziel verfolgt das 'Rollenkonzept' in Gruppen nach Berne?,Die Unterscheidung zwischen der formalen Funktion (z.B. Leiter) und dem aktuell aktiven Ich-Zustand.
Definition: Gruppenstruktur,"Die Aufteilung einer Gruppe in Organe, wie z.B. die Grenzlinie zwischen Führer und Mitgliedern."
Was ist die 'private Gruppenstruktur'?,"Die Art und Weise, wie ein Individuum die anderen Gruppenmitglieder und deren Beziehungen in seinem Kopf ordnet."
Was ist ein 'Psychologisches Spiel'?,Eine Serie von doppelbödigen Transaktionen mit einem verdeckten Motiv und einem abschließenden Pay-off.
Nennen Sie die Formel für psychologische Spiele nach Berne.,Köder + Schwachstelle = Reaktion $\rightarrow$ Umkehrung $\rightarrow$ Verwirrung $\rightarrow$ Auszahlung (Pay-off).
Welche drei Rollen umfasst das 'Dramadreieck' von Stephen Karpman?,"Verfolger, Retter und Opfer."
Was kennzeichnet die Rolle des 'Retters' im Dramadreieck?,"Er hilft anderen, ohne um Hilfe gebeten worden zu sein, und hält sie dadurch in Abhängigkeit."
Wie unterscheidet sich ein 'Dreiecksvertrag' (Mehreckvertrag) von einem Standardvertrag?,Er bezieht eine dritte Partei (z.B. eine Organisation oder Eltern) in die Zielvereinbarung ein.
Das 'Gewinnerdreieck' ist das Gegenmodell zu welchem Konzept?,Zum Dramadreieck (Umwandlung von Rollen in konstruktives Verhalten).
Was versteht Berne unter dem 'integrierten Erwachsenen-Ich'?,"Ein Erwachsenen-Ich, das ethische Werte (Ethos) und emotionale Offenheit (Pathos) in sein Handeln einbezieht."
Was ist das 'Funktionsmodell' der Ich-Zustände?,"Die Beschreibung, wie sich die Ich-Zustände im Verhalten nach außen äußern (z.B. kritisch, fürsorglich, angepasst)."
Begriff: Enttrübung (Decontamination),"Der therapeutische Prozess, das Erwachsenen-Ich von unbewussten Übernahmen aus dem EL oder K zu befreien."
Was ist eine 'Trübung' des Erwachsenen-Ichs durch das Eltern-Ich?,Die Verwechslung von übernommenen Vorurteilen oder Dogmen mit objektiven Fakten.
Definition: Bezugsrahmen (Frame of Reference),"Das individuelle Filter- und Wertesystem, durch das eine Person die Welt wahrnimmt und interpretiert."
Was ist eine 'Neuentscheidung' (Redecision)?,"Der Prozess, bei dem ein Klient einen einschränkenden frühen Beschluss durch eine neue, autonome Wahl ersetzt."
Nennen Sie die fünf klassischen 'Antreiber' nach Taibi Kahler.,"Sei perfekt!, Mach es allen recht!, Beeil dich!, Streng dich an!, Sei stark!"
Was ist die psychologische Funktion eines Antreibers?,"Er vermittelt das Gefühl: 'Ich bin nur OK, wenn ich...' (bedingtes OK)."
Was ist das 'Lebensskript' (Script)?,"Ein unbewusster Lebensplan, der auf frühen Entscheidungen unter dem Einfluss der Eltern beruht."
Was sind 'Grundüberzeugungen' im Kontext der TA?,"Früh getroffene Schlüsse über sich selbst, andere und die Welt, die das Skript stützen."
Was ist eine 'Erlaubnis' (Permission) in der Therapie?,"Eine Intervention, die dem Klienten die Freiheit gibt, ein skriptgebundenes Verbot zu missachten."
Was ist eine 'Skriptmatrix'?,"Ein Diagramm, das die Übermittlung von Skriptbotschaften (Einschärfungen, Programme, Antreiber) von den Eltern zum Kind darstellt."
Begriff: Einschärfung (Injunction),Eine meist nonverbale Verbotsbotschaft vom Kind-Ich der Eltern an das Kind-Ich des Kindes (z.B. 'Sei nicht!').
Was versteht man unter 'Gegenskript'?,"Den Teil des Lebensplans, der auf den moralischen Vorschriften und Erwartungen der Eltern (EL) basiert."
Was ist die 'therapeutische Triade' (Die drei P's)?,"Permission (Erlaubnis), Protection (Schutz) und Potency (Wirksamkeit/Potenz)."
Welche therapeutische Intervention ist die 'Konfrontation'?,"Das Aufzeigen von Widersprüchen im Verhalten, in den Worten oder in den Ich-Zuständen des Klienten."
Was geschieht bei der Intervention 'Illustration'?,"Der Einsatz von Anekdoten, Bildern oder Vergleichen, um einen psychologischen Sachverhalt anschaulich zu machen."
Was ist die 'Kristallisation' als Abschluss einer Intervention?,"Die klare Zusammenfassung der Situation, die es dem Klienten ermöglicht, eine autonome Entscheidung zu treffen."
Was versteht man unter dem 'kleinen Professor'?,"Den intuitiven, kreativen Anteil des Kind-Ichs ($ER_1$), der die Psychologie anderer Menschen früh erfasst."
Begriff: Gummiband-Reaktion,"Eine plötzliche, heftige emotionale Reaktion in der Gegenwart, die durch einen Reiz ausgelöst wird, der an eine Kindheitssituation erinnert."
Was ist das 'Galgenlachen'?,"Lachen über ein eigenes Missgeschick oder Unglück, das unbewusst zur Bestätigung eines tragischen Skripts dient."
Definieren Sie 'Rabattmarken' im TA-Kontext.,"Das Ansammeln von Racket-Gefühlen, um sie später gegen eine skriptgemäße 'Prämie' (z.B. einen Wutausbruch) einzutauschen."
Was ist ein 'Notausstieg' im Skript?,"Die tragische Skriptentscheidung für Selbstmord, Mord oder Wahnsinn als Ausweg aus unerträglichen Situationen."
Was ist ein 'Nicht-Suizid-Vertrag'?,"Eine verbindliche Zusage des Klienten, sich unter keinen Umständen das Leben zu nehmen, solange die Therapie dauert."
Was beschreibt das '3-Welten-Modell' in der Organisationsberatung?,"Die Verknüpfung von privater Welt, Organisationswelt und Professionswelt einer Person."
Was ist 'Racketanalyse'?,"Die Untersuchung der inneren Prozesse und Verhaltensweisen, die ein Ersatzgefühl aufrechterhalten."
Was ist eine 'Winkeltransaktion'?,"Eine doppelbödige Transaktion, bei der der Reiz scheinbar sachlich (ER-ER) ist, aber unbewusst das K des anderen anspricht."
Begriff: Egogramm,"Eine symbolische Balkengrafik, die zeigt, wie viel psychische Energie eine Person in ihre verschiedenen Ich-Zustände investiert."
Was ist 'Beelterung' (Reparenting)?,"Eine therapeutische Technik, bei der dem Klienten neue, hilfreiche elterliche Botschaften angeboten werden."
Welche Funktion hat 'Zeitgestaltung' nach Berne?,"Die Strukturierung der Zeit, um Langeweile zu vermeiden und das Bedürfnis nach Strokes zu befriedigen."
Nennen Sie die sechs Formen der Zeitgestaltung.,"Rückzug, Rituale, Zeitvertreib, Aktivitäten, Spiele und Intimität."
Was ist 'Intimität' im Sinne der TA?,"Eine spielfreie, offene Begegnung zweier Menschen im Hier und Jetzt ohne verdeckte Absichten."
Begriff: Skriptsignal,"Ein körperliches Zeichen (z.B. Räuspern, Augenzwinkern), das anzeigt, dass eine Person gerade in ihr Skript wechselt."
Was ist die 'Ausschließung' eines Ich-Zustands?,"Ein pathologischer Zustand, bei dem eine Person dauerhaft keinen Zugriff auf einen ihrer Ich-Zustände hat."
Was ist ein 'Eltern-Interview'?,"Eine Technik, bei der der Klient aus seinem Eltern-Ich heraus spricht, um dessen Botschaften und Geschichte zu klären."
Definition: Skript-Apparat,"Die Gesamtheit der Einflüsse (Einschärfungen, Antreiber, Provokationen), die das Skript am Laufen halten."
Was ist eine 'Erlösungsbotschaft'?,"Ein Skriptzusatz, der besagt, dass das Skript beendet werden darf, wenn ein unwahrscheinliches Ereignis eintritt."
Was ist 'Konfliktmanagement' durch Transaktionsanalyse?,"Die Analyse und Steuerung von Transaktionen, um von gekreuzten oder doppelbödigen zu komplementären Mustern zu gelangen."
Was ist das 'Strukturmodell' der Ich-Zustände?,"Die Analyse dessen, was im Inneren eines Ich-Zustands gespeichert ist (historische Inhalte)."
Was kennzeichnet ein 'banales Skript' nach Claude Steiner?,"Ein unspektakuläres, aber einschränkendes Leben, das oft nach traditionellen Geschlechterrollen verläuft."
Was ist ein 'tragisches Skript'?,"Ein Lebensplan, der auf eine Katastrophe (Tod, Gefängnis oder schweres Leid) zusteuert."
Begriff: Skriptwährung,"Das spezifische Gefühl (z.B. Schuld oder Wut), das eine Person sammelt, um ihr Skript zu erfüllen."
Was versteht man unter 'Marsmensch-Perspektive'?,"Die Fähigkeit, menschliches Verhalten völlig vorurteilsfrei und objektiv zu beobachten, als käme man von einem anderen Planeten."
Was ist ein 'Vorderzimmer/Hinterzimmer'-Modell?,Eine Metapher für die offene soziale Ebene (Vorderzimmer) und die verdeckte psychologische Ebene (Hinterzimmer) einer Interaktion.
Was ist 'Realitätsprüfung'?,"Die Fähigkeit des Erwachsenen-Ichs, Informationen auf ihre Richtigkeit und Angemessenheit in der aktuellen Situation zu prüfen."
Was ist 'Gegenübertragung' in der TA-Therapie?,"Die Reaktion des Therapeuten auf den Klienten, die oft durch dessen Skript oder eigene ungelöste Themen ausgelöst wird."
Was ist 'Heilung' nach Eric Berne?,Das Ablegen des Skripts und das Erreichen von vollständiger Autonomie.
Definition: Skript-Thema,"Der rote Faden oder das Grundmotto, das sich durch das gesamte Leben einer Person zieht."
Was ist 'Emotionale Erpressung' im Kontext von Spielen?,"Das Nutzen von Racket-Gefühlen, um andere dazu zu bringen, sich skriptkonform zu verhalten."
Was ist ein 'T-Shirt-Slogan' (Aushänger)?,"Eine kurze Phrase, die das Image oder die Skriptbotschaft einer Person zusammenfasst (z.B. 'Tritt mich!')."
Was beschreibt der 'Entwicklungskreislauf' nach Levin?,Die verschiedenen Phasen der kindlichen Entwicklung und die entsprechenden Bedürfnisse an die Umwelt.
Begriff: Episkript,"Die Weitergabe eines heißen Skript-Teils (wie eine 'heiße Kartoffel') an die nächste Generation, um sich selbst zu entlasten."
Was ist 'Konsonanz' zwischen Ich-Zuständen?,Ein harmonisches Zusammenspiel der inneren Anteile bei einer Entscheidung oder Handlung.
Was ist 'Dissonanz' zwischen Ich-Zuständen?,"Ein innerer Konflikt, bei dem z.B. das K etwas anderes will als das EL vorschreibt."
Was ist 'Sozialpsychiatrie' im Sinne Bernes?,Die Untersuchung der Auswirkungen von sozialen Interaktionen auf die psychische Gesundheit.
Was ist ein 'Gruppenkanon'?,"Die Gesamtheit der Regeln, Traditionen und Werte, die das Verhalten in einer Gruppe bestimmen."
Was ist 'Gruppendynamik'?,"Die Gesamtheit der Kräfte und Prozesse, die innerhalb einer Gruppe zwischen den Mitgliedern wirken."
Was ist 'Ich-Stärke' in der Transaktionsanalyse?,"Die Fähigkeit der Person, die Vorherrschaft des Erwachsenen-Ichs in schwierigen Situationen aufrechtzuerhalten."
Definition: Skriptzirkel,"Der sich selbst verstärkende Kreislauf aus Skriptüberzeugungen, Verhalten und den daraus resultierenden Erfahrungen."
Was ist ein 'Stopp-Vertrag'?,"Ein Vertrag, in dem sich ein Klient verpflichtet, ein schädigendes Verhalten (z.B. Trinken) sofort zu unterlassen."
Was ist 'Selbst-Neubeelterung'?,"Die Fähigkeit des Erwachsenen-Ichs, dem eigenen Kind-Ich die Fürsorge und Erlaubnisse zu geben, die früher fehlten."
Was ist ein 'Euhemerus' nach Berne?,"Der verstorbene Gründer oder Held einer Gruppe, der im Gruppenimago idealisiert weiterlebt."
Was ist 'Pathos' im integrierten Erwachsenen-Ich?,"Die Einbeziehung der lebendigen, emotionalen Qualitäten des Kind-Ichs in das erwachsene Handeln."
Wie definiert Leonhard Schlegel das Konzept 'Autonomie' in Anlehnung an Eric Berne?,"Autonomie umfasst die Fähigkeit zur unbefangenen Wachheit (Awareness), Spontaneität und die Kapazität zur Intimität (Quelle: Schlegel, S. 15)."
Welche drei Kategorien von Ich-Zuständen bilden das Fundament der Strukturanalyse?,"Die Kategorien sind das Eltern-Ich (EL), das Erwachsenen-Ich (ER) und das Kind-Ich (K) (Quelle: Schlegel, S. 126)."
"Terminus: Grundeinstellung 'Ich bin O.K., du bist O.K.' (\(+/+\))","Definition: Eine Haltung der Menschlichkeit, in der Personen als grundsätzlich gleichwertig und gleich wichtig betrachtet werden (Quelle: Schlegel, S. 93)."
Was kennzeichnet eine 'gekreuzte Transaktion' (disparate Botschaft) in der Kommunikation?,"Die Reaktion erfolgt aus einem anderen Ich-Zustand als dem angesprochenen, was die Kommunikation unterbricht (Quelle: Schlegel, S. 174)."
Welches Phänomen beschreibt die 'Symbiose' nach der Schiff-Schule?,"Ein Verhältnis, bei dem zwei Individuen zusammen wie eine Person agieren, indem sie gegenseitig bestimmte Ich-Zustände ausschließen (Quelle: Schlegel, S. 314)."
"In der Transaktionsanalyse ist _____ die Verdrängung eines Problems oder der Möglichkeiten, dieses zu lösen.","Ausblendung (auch: Discounting) (Quelle: Schlegel, S. 12)."
Nenne die vier Stufen der 'Ausblendungshierarchie' nach Schiff.,"1. Existenz der Gegebenheit, 2. Bedeutsamkeit, 3. Veränderbarkeit/Lösbarkeit, 4. Persönliche Fähigkeit zur Umsetzung (Quelle: Schlegel, S. 14)."
Was ist das primäre Merkmal eines 'Rackets' (Ersatzgefühl)?,"Ein gelerntes und skriptgebundenes Gefühl, das ein ursprüngliches, verbotenes Gefühl in einer Stresssituation ersetzt (Quelle: Schlegel, S. 246)."
Welche fünf Kategorien von 'Antreibern' identifizierte Taibi Kahler?,"Sei perfekt!, Streng dich an!, Sei liebenswürdig!, Beeil dich! und Sei stark! (Quelle: Schlegel, S. 5)."
Konzept: Miniskript,"Ein Modell, das zeigt, wie eine Person innerhalb von Sekunden oder Minuten ihr gesamtes Skript in Miniaturform durchläuft (Quelle: Schlegel, S. 197)."
Wie unterscheidet sich der 'Behandlungsvertrag' nach Berne vom 'Arbeitsvertrag' nach Steiner?,"Bernes Vertrag fokussiert das Therapieziel, während Steiners Arbeitsvertrag juristische Kriterien wie Entgelt und Vertragsfähigkeit betont (Quelle: Schlegel, S. 9, 18)."
Was versteht man unter einer 'doppelbödigen Transaktion'?,"Eine Kommunikation, bei der gleichzeitig eine offene soziale Ebene und eine verdeckte psychologische Ebene wirksam sind (Quelle: Schlegel, S. 300)."
Nenne die drei Rollen im 'Dramadreieck' nach Karpman.,"Die Rollen sind Verfolger (V), Retter (R) und Opfer (O) (Quelle: Schlegel, S. 44)."
Was ist die Kernfunktion einer 'Erlaubnis' (Permission) in der Therapie?,"Sie ist eine Skriptantithese, die den Patienten vom Zwang befreit, lebensfeindlichen inneren Verboten zu folgen (Quelle: Schlegel, S. 63)."
Wie wird das 'Skript' (Lebensplan) in der TA definiert?,"Ein unbewusster Lebensplan, der in der Kindheit unter elterlichem Einfluss entworfen wurde und auf ein bestimmtes Ziel hinführt (Quelle: Schlegel, S. 272)."
Das 'integrierte Erwachsenen-Ich' (ER2) zeichnet sich laut Berne durch welche Qualitäten aus?,"Es verbindet Ethos (Werte), Pathos (Empathie/Charme) und Logos (Informationsverarbeitung) (Quelle: Schlegel, S. 134)."
Was bezeichnet die 'Trübung' (Contamination) des Erwachsenen-Ichs?,"Wenn Inhalte des Eltern-Ichs oder Kind-Ichs fälschlicherweise als objektive Realität des Erwachsenen-Ichs wahrgenommen werden (Quelle: Schlegel, S. 148)."
Welche Bedeutung hat der 'Bezugsrahmen' (Frame of Reference) für das Individuum?,"Er bietet ein Filtersystem zur Wahrnehmung der Realität und zur Zuweisung von Bedeutung und Werten (Quelle: Schlegel, S. 31)."
Wie definieren Goulding & Goulding die 'Neuentscheidung' (Redecision)?,"Ein therapeutischer Akt, bei dem das Kind-Ich eine alte, einschränkende Skriptentscheidung durch eine neue, lebensbejahende ersetzt (Quelle: Schlegel, S. 204)."
Was ist eine 'Winkeltransaktion'?,"Eine Form der doppelbödigen Transaktion, bei der ein Stimulus gezielt an einen anderen Ich-Zustand des Gegenübers gerichtet wird, als sozial vorgegeben (Quelle: Schlegel, S. 326)."
In der TA-Beratung bezieht sich die 'Vertragsorientiertheit' auf welche Vereinbarung?,"Die explizite Übereinkunft zwischen Berater und Klient über Ziele, Methoden und Verantwortlichkeiten (Quelle: Schlegel, S. 25, 217)."
Was versteht man unter 'Strokes' im Kontext der TA-Grundbedürfnisse?,"Einheiten der Anerkennung oder Zuwendung, die für das psychische Überleben notwendig sind (Quelle: Schlegel, S. 356)."
"Nenne die vier Verhaltensweisen, die laut Schiff auf 'Passivität' hinweisen.","Nichtstun, Überanpassung, Agitieren und Selbst-Behinderung/Gewalt (Quelle: Schlegel, S. 223)."
Was kennzeichnet die 'überverantwortliche' Position in einer Symbiose?,"Die Person übernimmt die Verantwortung für die Bedürfnisse und Problemlösungen des anderen (Quelle: Schlegel, S. 313)."
Konzept: Psychologisches Spiel,"Eine Abfolge von Transaktionen mit verdecktem Motiv, die in einem Pay-off (Spielgewinn) mit vertrauten schlechten Gefühlen endet (Quelle: Schlegel, S. 299)."
Was beschreibt die Formel \(G + K = R \to W \to C\) nach Eric Berne?,"Die Spielformel: Gnadengesuch (Köder) + Komplize (Angelschnur) = Reaktion $\to$ Wechsel $\to$ Coup/Bestürzung (Quelle: Schlegel, S. 302)."
Wie wird die 'Skriptmatrix' grafisch dargestellt?,"Als Diagramm mit Botschaften zwischen den Ich-Zuständen der Eltern (EL, ER, K) und denen des Kindes (Quelle: Schlegel, S. 284)."
Was sind 'destruktive Grundbotschaften' (Injunctions)?,"Vom Kind-Ich der Eltern ausgehende Verbote wie 'Sei nicht!', 'Wachs nicht!' oder 'Geh nicht nah!' (Quelle: Schlegel, S. 85)."
Terminus: Rabattmarken sammeln,"Das Ansammeln von Ersatzgefühlen (Racketgefühlen), um diese später gegen eine skriptkonforme 'Prämie' einzutauschen (Quelle: Schlegel, S. 245)."
Was ist die Kernaufgabe des 'Erwachsenen-Ichs' laut Funktionsmodell?,"Die sachliche, wertfreie Informationsverarbeitung und Prüfung der gegenwärtigen Realität (Quelle: Schlegel, S. 128)."
Welche drei Formen der 'Gruppenstruktur' unterscheidet Berne?,"Die individuelle (privat), die organisatorische (öffentlich) und die psychologische Struktur (Quelle: Schlegel, S. 105)."
Wie definiert Stierlin den Begriff 'Delegation' in Verbindung mit dem Skript?,"Ein unbewusster Auftrag der Eltern an das Kind, stellvertretend etwas zu leben, was den Eltern versagt blieb (Quelle: Schlegel, S. 39)."
Was versteht man unter 'Enttrübung' (Decontamination) in der Therapie?,"Der Prozess, die Grenzen zwischen dem Erwachsenen-Ich und den eingedrungenen Eltern- oder Kind-Anteilen wiederherzustellen (Quelle: Schlegel, S. 148)."
Konzept: Episkript (Hot Potato),"Die Weitergabe eines schädlichen Skriptanteils an eine andere Person, um sich selbst davon zu entlasten (Quelle: Schlegel, S. 61)."
Welche Rolle spielt die 'physis' nach Berne für die menschliche Entwicklung?,"Sie ist die allem Lebendigen innewohnende Kraft zur evolutionären Entwicklung und individuellen Ausreifung (Quelle: Schlegel, S. 227)."
Was kennzeichnet ein 'Gewinner-Skript'?,"Die Person erreicht ihr selbstgesetztes Ziel und fühlt sich dabei wohl und authentisch (Quelle: Schlegel, S. 79)."
Was bedeutet 'Metakommunikation' im Kontext von Transaktionen?,"Das Sprechen über die Art und Weise der Kommunikation selbst, um Missverständnisse oder Spiele zu klären (Quelle: Schlegel, S. 32)."
In der TA wird 'Schuldzuweisung an andere' oft welcher Grundeinstellung zugeordnet?,"Der Position 'Ich bin O.K., du bist nicht O.K.' (\(+/- \)) (Quelle: Schlegel, S. 92)."
Was ist die 'Stuhltechnik' nach Stuntz?,"Ein Verfahren, bei dem leere Stühle genutzt werden, um Dialoge zwischen verschiedenen Ich-Zuständen einer Person zu externalisieren (Quelle: Schlegel, S. 309)."
Welchen Zweck erfüllt der 'Dreiecksvertrag' (Mehrecksvertrag) in Organisationen?,"Die Klärung der Erwartungen zwischen dem Auftraggeber, dem Berater und dem Klientensystem (Quelle: Schlegel, S. 45)."
Wie unterscheiden sich 'Gefühle zur Entschuldigung' von echten Gefühlen?,"Sie dienen dazu, Verantwortung zu vermeiden oder ein skriptgebundenes Racket aufrechtzuerhalten (Quelle: Schlegel, S. 73)."
Nenne ein Beispiel für einen 'positiven Anstoß' (Come-on).,"Eine unterstützende Geste oder ein Satz wie 'Das schaffst du sicher!', der das Wachstum fördert (Quelle: Schlegel, S. 4)."
Was ist der 'Kleiner Professor' in der TA-Terminologie?,"Der intuitive, kreative und schlaue Anteil des Kind-Ichs ( \(ER_1\) ) (Quelle: Schlegel, S. 169)."
Was beschreibt der Begriff 'Eidetik' im Kontext der Ich-Zustände?,"Die Fähigkeit, Kindheitserinnerungen so lebendig und bildhaft wie eine gegenwärtige Realität zu erleben (Quelle: Schlegel, S. 50)."
Was ist das Ziel der 'Beziehungsanalyse'?,"Die Untersuchung, aus welchen Ich-Zuständen zwei Menschen primär miteinander transagieren (Quelle: Schlegel, S. 28)."
Was versteht man unter 'Ausschluss' (Exclusion) eines Ich-Zustandes?,"Ein Zustand, in dem eine Person den Zugriff auf einen ihrer Ich-Zustände dauerhaft oder situativ unterdrückt (Quelle: Schlegel, S. 140)."
Konzept: Galgenlachen,"Lachen über ein eigentlich tragisches oder selbstzerstörerisches Ereignis, was eine negative Skriptbotschaft verstärkt (Quelle: Schlegel, S. 72)."
Was bezeichnet 'Gummiband-Reaktion' (Rubberband)?,"Ein plötzliches Zurückfallen in ein Kindheitsgefühl aufgrund eines gegenwärtigen Auslösers (Quelle: Schlegel, S. 117)."
Welche Bedeutung hat das 'Endergebnis' (Pay-off) im Skript?,"Es ist das finale Ereignis oder die Schlussvorstellung, auf die das Skript hinarbeitet (z. B. Einsamkeit, Triumph) (Quelle: Schlegel, S. 56)."
Was ist eine 'Anweisung' (Prescription) im Gegenskript?,"Eine oft gut gemeinte, moralische Verhaltensregel der Eltern wie 'Sei fleißig!' oder 'Hilf anderen!' (Quelle: Schlegel, S. 8)."
Wie definiert English den 'Begeisterungstrieb'?,"Eine kreative Kraft im kleinkindlichen Erwachsenen (Spunky), die nach Neuem und Risiken sucht (Quelle: Schlegel, S. 3)."
Was beschreibt das 'Egogramm' nach Dusay?,"Eine visuelle Darstellung (Balkendiagramm), wie viel Energie eine Person in ihre verschiedenen Ich-Zustände investiert (Quelle: Schlegel, S. 49)."
Was ist ein 'Nicht-Suizid-Vertrag'?,"Eine verbindliche Abmachung, sich während der Therapiezeit unter keinen Umständen das Leben zu nehmen (Quelle: Schlegel, S. 213, 313)."
Wie wird 'Intimität' in der TA von Spielen abgegrenzt?,"Intimität ist eine spielfreie, ehrliche und direkte Kommunikation ohne Ausbeutung oder Hintergedanken (Quelle: Schlegel, S. 160)."
Was ist der 'Dämon' im Skriptapparat nach Berne?,"Die verinnerlichte Stimme, die zu plötzlichen, oft destruktiven Impulshandlungen antreibt (Quelle: Schlegel, S. 38)."
Was versteht man unter 'Neubeelterung' (Reparenting)?,"Ein therapeutisches Verfahren, bei dem alte elterliche Einflüsse durch neue, gesunde Botschaften des Therapeuten ersetzt werden (Quelle: Schlegel, S. 202)."
Terminus: Zeitgestaltung,"Die sechs Arten, wie Menschen Zeit strukturieren: Rückzug, Rituale, Zeitvertreib, Aktivitäten, Spiele und Intimität (Quelle: Schlegel, S. 353)."
Was ist eine 'tangentiale Reaktion'?,"Eine Antwort, die das Thema des Gegenübers zwar streift, aber den eigentlichen Kern der Frage ignoriert (Quelle: Schlegel, S. 328)."
Welche Funktion hat die 'Eltern-Interview'-Technik?,"Der Therapeut befragt den Patienten, während dieser sich in seinem Eltern-Ich befindet, um Skriptquellen zu klären (Quelle: Schlegel, S. 53)."
Was beschreibt der 'Antiskript-Slogan'?,"Eine rebellische Umkehrung elterlicher Gebote, die jedoch oft die gleiche Unfreiheit wie das Skript selbst zeigt (Quelle: Schlegel, S. 4)."
Was ist die 'Konstanzhypothese' beim Egogramm?,"Die Annahme, dass die Gesamtmenge der psychischen Energie gleich bleibt; steigt ein Ich-Zustand, muss ein anderer sinken (Quelle: Schlegel, S. 50)."
